Timeline,Start time,Duration,Row,Instance number,DEFENSE,HALF COURT ACTIONS,HALF COURT OFFENSE,OFFENSE,ON COURT,PLAYERS,Result,SHOT AREA,TRANSITION,Ungrouped,Notes,Flags
Game #16 - Duke 1-13-24 (FINAL),3.7134919576665197,20.53004137566677,OFFENSE,1,,P/R,,,"#11 Ndongo, #14 Reeves, #5 Gapare, #2 George, #13 Kelly",Ndongo #11,O2,Paint,,,,
Game #16 - Duke 1-13-24 (FINAL),53.67763333333335,8.904444166999951,OFFENSE,2,,,,Transition O,"#11 Ndongo, #14 Reeves, #5 Gapare, #2 George, #13 Kelly",,TO,,TRANSITION,,,
Game #16 - Duke 1-13-24 (FINAL),111.37500000033333,17.366833333000045,OFFENSE,3,,P/R,,,"#11 Ndongo, #14 Reeves, #5 Gapare, #2 George, #13 Kelly",George #2,O3,Straightaway 3,,,,
Game #16 - Duke 1-13-24 (FINAL),140.7853,10.340166667333278,OFFENSE,4,,P/R,,,"#11 Ndongo, #14 Reeves, #5 Gapare, #2 George, #13 Kelly",,TO,,,,,
Game #16 - Duke 1-13-24 (FINAL),232.30966666666666,17.483633333333387,OFFENSE,5,,,,Forced Foul,"#12 Claude, #14 Reeves, #5 Gapare, #2 George, #13 Kelly",,,,,,,
Game #16 - Duke 1-13-24 (FINAL),266.2936666666667,18.51649999999995,OFFENSE,6,,,,BLOB Off,"#12 Claude, #14 Reeves, #5 Gapare, #2 George, #13 Kelly",,,,,,,
Game #16 - Duke 1-13-24 (FINAL),293.9771333333333,6.533433333333392,OFFENSE,7,,SLOB,,SLOB Off,"#12 Claude, #14 Reeves, #5 Gapare, #2 George, #13 Kelly",George #2,X3,Straightaway 3,,,,
Game #16 - Duke 1-13-24 (FINAL),314.494,19.03360000033331,OFFENSE,8,,DK/MVMT,,,"#12 Claude, #14 Reeves, #5 Gapare, #2 George, #13 Kelly",Kelly #13,X3,Left Wing 3,,,,
Game #16 - Duke 1-13-24 (FINAL),343.2944000003333,25.350233333000006,OFFENSE,9,,P/R,,,"#12 Claude, #14 Reeves, #5 Gapare, #2 George, #13 Kelly",Reeves #14,O3,Left Corner 3,,,,
Game #16 - Duke 1-13-24 (FINAL),381.8784666666668,23.75,OFFENSE,10,,P/R,,,"#12 Claude, #14 Reeves, #5 Gapare, #2 George, #13 Kelly",Gapare #5,O3,Right Wing 3,,,,
Game #16 - Duke 1-13-24 (FINAL),432.3287,12.583533333333207,OFFENSE,11,,P/R,,,"#12 Claude, #14 Reeves, #5 Gapare, #2 George, #13 Kelly",Kelly #13,X2,At Rim,,,,
Game #16 - Duke 1-13-24 (FINAL),484.8036666666667,28.18360000000007,OFFENSE,12,,P/R,,,"#11 Ndongo, #14 Reeves, #3 Coleman, #1 Sturdivant, #13 Kelly",Reeves #14,O2,At Rim,,,,
Game #16 - Duke 1-13-24 (FINAL),561.9377999999999,16.316900000000032,OFFENSE,13,,P/R,,,"#11 Ndongo, #14 Reeves, #3 Coleman, #1 Sturdivant, #13 Kelly",Ndongo #11,X2,Paint,,,,
Game #16 - Duke 1-13-24 (FINAL),588.8548333333333,19.550199999999904,OFFENSE,14,,P/R,,,"#11 Ndongo, #14 Reeves, #3 Coleman, #1 Sturdivant, #13 Kelly",Ndongo #11,O2,Deep Right Wing 2,,,,
Game #16 - Duke 1-13-24 (FINAL),630.3053333333332,7.666733334000128,OFFENSE,15,,,,Transition O,"#11 Ndongo, #14 Reeves, #3 Coleman, #1 Sturdivant, #13 Kelly",Coleman #3,X3,Right Corner 3,TRANSITION,,,
Game #16 - Duke 1-13-24 (FINAL),679.5225666666668,22.700266666666494,OFFENSE,16,,P/R,,,"#14 Reeves, #3 Coleman, #1 Sturdivant, #13 Kelly, #10 Dowuona",Sturdivant #1,TO,Left Wing 3,,,,
Game #16 - Duke 1-13-24 (FINAL),750.2067333333334,20.316866666666556,OFFENSE,17,,ISO,,,"#14 Reeves, #3 Coleman, #1 Sturdivant, #24 Abram, #10 Dowuona",Sturdivant #1,X2,Nail Area 2,,,,
Game #16 - Duke 1-13-24 (FINAL),782.6403666673334,18.133533332666502,OFFENSE,18,,P/R,,,"#14 Reeves, #3 Coleman, #1 Sturdivant, #24 Abram, #10 Dowuona",Sturdivant #1,O3,Right Wing 3,,,,
Game #16 - Duke 1-13-24 (FINAL),859.5605999999998,22.55026666699996,OFFENSE,19,,P/R,,Press O,"#11 Ndongo, #14 Reeves, #3 Coleman, #1 Sturdivant, #24 Abram",Kelly #13,X3,Left Wing 3,,,,
Game #16 - Duke 1-13-24 (FINAL),894.9608666666666,8.933600000333172,OFFENSE,20,,P/R,,,"#11 Ndongo, #14 Reeves, #3 Coleman, #1 Sturdivant, #24 Abram",Abram #24,X2,Deep Right Wing 2,,,,
Game #16 - Duke 1-13-24 (FINAL),913.7406927499999,16.070673917000022,OFFENSE,21,,P/R,,,"#11 Ndongo, #14 Reeves, #3 Coleman, #1 Sturdivant, #24 Abram",Ndongo #11,O2,At Rim,,,,
Game #16 - Duke 1-13-24 (FINAL),1004.1788666669997,14.666766666333388,OFFENSE,22,,P/R,,,"#11 Ndongo, #14 Reeves, #5 Gapare, #2 George, #13 Kelly",Gapare #5,O3,Right Corner 3,,,,
Game #16 - Duke 1-13-24 (FINAL),1054.6460999999997,13.51680000000033,OFFENSE,23,,,,Forced Foul,"#11 Ndongo, #14 Reeves, #5 Gapare, #2 George, #13 Kelly",,,,,,,
Game #16 - Duke 1-13-24 (FINAL),1082.4799,20.250066666999828,OFFENSE,24,,ISO,,SLOB Off,"#11 Ndongo, #14 Reeves, #5 Gapare, #2 George, #13 Kelly",,TO,,,,,
Game #16 - Duke 1-13-24 (FINAL),1135.9522666670002,6.150066666666589,OFFENSE,25,,,,"Transition O, GT Off Reb","#12 Claude, #14 Reeves, #5 Gapare, #2 George, #13 Kelly",Reeves #14,X3,Left Corner 3,TRANSITION,,,
Game #16 - Duke 1-13-24 (FINAL),1142.1023333336668,11.783466667333414,OFFENSE,26,,ISO,,,"#12 Claude, #14 Reeves, #5 Gapare, #2 George, #13 Kelly",Gapare #5,X2,At Rim,,,,
Game #16 - Duke 1-13-24 (FINAL),1210.1864333340002,20.666899999666384,OFFENSE,27,,DHO/HOFF,,,"#12 Claude, #14 Reeves, #5 Gapare, #2 George, #13 Kelly",Kelly #13,O3,Right Wing 3,,,,
Game #16 - Duke 1-13-24 (FINAL),1243.503466667,9.266799999999876,OFFENSE,28,,P/R,,,"#12 Claude, #14 Reeves, #5 Gapare, #2 George, #13 Kelly",Kelly #13,X2,At Rim,,,,
Game #16 - Duke 1-13-24 (FINAL),1269.753833334,24.766900000000078,OFFENSE,29,,P/R,,,"#12 Claude, #14 Reeves, #5 Gapare, #2 George, #13 Kelly",George #2,O2,Deep Left Wing 2,,,,
Game #16 - Duke 1-13-24 (FINAL),1388.305166667,22.083500000000186,OFFENSE,30,,P/R,,Press O,"#10 Dowuona, #14 Reeves, #3 Coleman, #2 George, #13 Kelly",Kelly #13,O3,Left Wing 3,,,,
Game #16 - Duke 1-13-24 (FINAL),1423.155500001,10.383433333000085,OFFENSE,31,,P/R,,,"#10 Dowuona, #14 Reeves, #3 Coleman, #2 George, #13 Kelly",Kelly #13,X2,Nail Area 2,,,,
Game #16 - Duke 1-13-24 (FINAL),1458.8892666670001,22.566866666999886,OFFENSE,32,,P/R,,,"#10 Dowuona, #14 Reeves, #3 Coleman, #2 George, #13 Kelly",Dowuona #10,X2,Paint,,,,
Game #16 - Duke 1-13-24 (FINAL),1515.3997294579997,18.856310292334,OFFENSE,33,,P/R,,Forced Foul,"#10 Dowuona, #14 Reeves, #3 Coleman, #2 George, #13 Kelly",George #2,X2F,Right Short Midrange 2,,,,
Game #16 - Duke 1-13-24 (FINAL),1555.6993180003335,2.8248884166669086,OFFENSE,34,,P/R,,,"#10 Dowuona, #14 Reeves, #3 Coleman, #2 George, #13 Kelly",,FT - MI,,,,,
Game #16 - Duke 1-13-24 (FINAL),1572.7000588750004,4.097066083666505,OFFENSE,35,,P/R,,,"#10 Dowuona, #14 Reeves, #3 Coleman, #2 George, #13 Kelly",,FT - MK,,,,,
Game #16 - Duke 1-13-24 (FINAL),1600.2068730843337,8.99999999933334,OFFENSE,36,,,,Transition O,"#10 Dowuona, #14 Reeves, #3 Coleman, #2 George, #13 Kelly",Coleman #3,O3,Right Wing 3,TRANSITION,,,
Game #16 - Duke 1-13-24 (FINAL),1683.8999106253334,14.246814292000181,OFFENSE,37,,ISO,,Forced Foul,"#10 Dowuona, #14 Reeves, #3 Coleman, #2 George, #13 Kelly",,,,,,,
Game #16 - Duke 1-13-24 (FINAL),1711.7002185006666,17.82530104166699,OFFENSE,38,,P/R,,"SLOB Off, Forced Foul","#10 Dowuona, #14 Reeves, #3 Coleman, #2 George, #13 Kelly",,,,,,,
