Timeline,Start time,Duration,Row,Instance number,DEFENSE,HALF COURT ACTIONS,OFFENSE,ON COURT,PLAYERS,Result,SHOT AREA,TRANSITION,Ungrouped,Notes,Flags
Game #14 - BC 1-6-23 (Final),2445.5720999999994,8.0,OPP 2PT Shot,28,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),2650.8535333333325,8.0,OPP 2PT Shot,29,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),2652.6819666666656,8.0,OPP 2PT Shot,30,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),2739.040377777777,8.0,OPP 2PT Shot,31,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),2797.336366666666,8.0,OPP 2PT Shot,32,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),2934.4310666666656,8.0,OPP 2PT Shot,33,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),3004.3697222222213,8.0,OPP 2PT Shot,34,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),3100.734099999999,8.0,OPP 2PT Shot,35,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),3194.9653444444434,8.0,OPP 2PT Shot,36,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),3292.5008888888883,8.0,OPP 2PT Shot,37,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),3720.933366666665,8.0,OPP 2PT Shot,38,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),3873.8125000003315,8.0,OPP 2PT Shot,39,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),3889.8963333333318,8.0,OPP 2PT Shot,40,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),4107.319733333332,8.0,OPP 2PT Shot,41,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),4312.742766667332,8.0,OPP 2PT Shot,42,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),14.131433333333334,8.0,FGA - Reeves #14,1,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),694.9672666666665,8.0,FGA - Reeves #14,2,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),861.3148999999999,8.0,FGA - Reeves #14,3,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),1222.9139666663332,8.0,FGA - Reeves #14,4,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),1419.8426333333332,8.0,FGA - Reeves #14,5,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),1646.7279000003332,8.0,FGA - Reeves #14,6,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),2814.4535666666657,8.0,FGA - Reeves #14,7,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),3010.3990777777767,8.0,FGA - Reeves #14,8,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),51.565999999999995,8.0,FGA - Ndongo #11,1,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),215.65463333333332,7.999999999999972,FGA - Ndongo #11,2,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),335.7263444444443,8.0,FGA - Ndongo #11,3,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),433.83901111111106,8.0,FGA - Ndongo #11,4,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),894.7992666669998,8.0,FGA - Ndongo #11,5,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),931.4044888888886,8.0,FGA - Ndongo #11,6,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),977.6032666663332,8.0,FGA - Ndongo #11,7,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),1395.7918666663331,8.0,FGA - Ndongo #11,8,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),1503.945333333333,8.0,FGA - Ndongo #11,9,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),2452.6815999999994,8.0,FGA - Ndongo #11,10,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),2514.0776666666657,8.0,FGA - Ndongo #11,11,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),2667.981155555555,8.0,FGA - Ndongo #11,12,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),2916.356744444444,8.0,FGA - Ndongo #11,13,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),2954.122822222221,8.0,FGA - Ndongo #11,14,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),3644.355399999998,8.0,FGA - Ndongo #11,15,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),52.86606666633333,8.0,FGA - Dowuona #10,1,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),247.63903333333334,8.0,FGA - Dowuona #10,2,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),730.7425555555554,8.0,FGA - Dowuona #10,3,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),137.30210000033333,8.0,FGA - George #2,1,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),1062.6121111111108,8.0,FGA - George #2,2,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),1103.924000000333,8.0,FGA - George #2,3,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),1791.1489666673333,8.0,FGA - George #2,4,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),2952.720855555555,8.0,FGA - George #2,5,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),174.81996666633333,8.0,FGA - Kelly #13,1,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),278.53130000000004,8.0,FGA - Kelly #13,2,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),500.37851111111104,8.0,FGA - Kelly #13,3,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),1260.065133333333,8.0,FGA - Kelly #13,4,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),1320.483733333333,8.0,FGA - Kelly #13,5,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),1476.5196888888886,8.0,FGA - Kelly #13,6,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),2417.983466666666,8.0,FGA - Kelly #13,7,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),3118.6715111111102,8.0,FGA - Kelly #13,8,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),3197.623766666666,8.0,FGA - Kelly #13,9,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),3417.0806333333326,8.0,FGA - Kelly #13,10,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),3633.3216666666654,8.0,FGA - Kelly #13,11,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),3779.7262333333315,8.0,FGA - Kelly #13,12,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),393.7576999999999,8.0,FGA - Coleman #3,1,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),625.8983999999999,8.0,FGA - Coleman #3,2,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),765.7622888888886,8.0,FGA - Coleman #3,3,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),2113.4033111111107,8.0,FGA - Coleman #3,4,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),2270.575933333333,8.0,FGA - Coleman #3,5,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),2561.2389666666654,8.0,FGA - Coleman #3,6,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),2586.2799000006657,8.0,FGA - Coleman #3,7,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),2762.028322222221,8.0,FGA - Coleman #3,8,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),4324.009833333332,8.0,FGA - Coleman #3,9,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),466.24924444444434,8.0,FGA - Claude #12,1,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),3301.9612111111105,8.0,FGA - Claude #12,2,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),555.2109555555554,8.0,FGA - Sturdivant #1,1,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),666.7110888888888,8.0,FGA - Sturdivant #1,2,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),1555.2340555555552,8.0,FGA - Sturdivant #1,3,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),1600.7650333333331,8.0,FGA - Sturdivant #1,4,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),2077.556533333333,8.0,FGA - Sturdivant #1,5,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),3220.9520333333326,8.0,FGA - Sturdivant #1,6,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),3802.526966666665,8.0,FGA - Sturdivant #1,7,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),571.4300333329999,8.0,FGA - Gapare #5,1,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),661.1828999999999,8.0,FGA - Gapare #5,2,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),2187.720166666666,8.0,FGA - Gapare #5,3,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),2378.379233333333,8.0,FGA - Gapare #5,4,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),4078.8522333333317,8.0,FGA - Gapare #5,5,,,,,,,,,,,
Game #14 - BC 1-6-23 (Final),4263.291266667331,8.0,FGA - Gapare #5,6,,,,,,,,,,,
